#! FIELDS theta file.free der_theta
#! SET min_theta -pi
#! SET max_theta pi
#! SET nbins_theta  100
#! SET periodic_theta true
   -3.141592654    0.000000000   -0.164185343
   -3.078760801    0.507754184   16.305700297
   -3.015928947    2.042259731   32.455386919
   -2.953097094    4.572211642   47.937218750
   -2.890265241    8.043573321   62.386151299
   -2.827433388   12.385964510   75.599725667
   -2.764601535   17.512131234   87.304022141
   -2.701769682   23.320924567   97.308201735
   -2.638937829   29.703281336  105.532903208
   -2.576105976   36.542680151  111.833887544
   -2.513274123   43.715084301  116.157321364
   -2.450442270   51.100030986  118.589398990
   -2.387610417   58.576836984  119.088252500
   -2.324778564   66.026730125  117.742858005
   -2.261946711   73.336144922  114.652593540
   -2.199114858   80.399043355  109.880568045
   -2.136283004   87.114791594  103.640841270
   -2.073451151   93.394288146   95.998594628
   -2.010619298   99.153191175   87.121767092
   -1.947787445  104.317675618   77.079563154
   -1.884955592  108.816923928   66.022220502
   -1.822123739  112.595430132   54.148234241
   -1.759291886  115.609011957   41.653776065
   -1.696460033  117.818355137   28.632829988
   -1.633628180  119.199443626   15.270766550
   -1.570796327  119.735020501    1.742916787
   -1.507964474  119.413957012  -11.997682150
   -1.445132621  118.236721231  -25.469761714
   -1.382300768  116.219002762  -38.669047499
   -1.319468915  113.388242719  -51.372104776
   -1.256637061  109.777136676  -63.457535115
   -1.193805208  105.433741471  -74.665325677
   -1.130973355  100.418251703  -84.800387143
   -1.068141502   94.801512880  -93.784553813
   -1.005309649   88.662057088 -101.404875411
   -0.942477796   82.088536634 -107.557153874
   -0.879645943   75.179371621 -112.082537223
   -0.816814090   68.041250195 -114.829213399
   -0.753982237   60.785863143 -115.798744159
   -0.691150384   53.528732615 -114.865390674
   -0.628318531   46.390823082 -112.025170681
   -0.565486678   39.489194015 -107.348642459
   -0.502654825   32.940725677 -100.798874485
   -0.439822972   26.859621164  -92.488465800
   -0.376991118   21.353259301  -82.525585594
   -0.314159265   16.519532312  -71.104534523
   -0.251327412   12.444562131  -58.417283996
   -0.188495559    9.200632048  -44.679250266
   -0.125663706    6.846429724  -30.140315892
   -0.062831853    5.424987762  -15.054633473
    0.000000000    4.960534736    0.304467904
    0.062831853    5.462668586   15.650058372
    0.125663706    6.920125669   30.670257222
    0.188495559    9.303524673   45.089581498
    0.251327412   12.566498807   58.637926433
    0.314159265   16.649800758   71.138424049
    0.376991118   21.478028958   82.341116143
    0.439822972   26.966670567   92.117914365
    0.502654825   33.021273966  100.338771504
    0.565486678   39.538968305  106.840845168
    0.628318531   46.410209245  111.583457616
    0.691150384   53.523502507  114.537193002
    0.753982237   60.763800536  115.625093060
    0.816814090   68.015662937  114.910688761
    0.879645943   75.167527121  112.457261066
    0.942477796   82.109559585  108.254308822
    1.005309649   88.734012522  102.366293438
    1.068141502   94.941605317   94.979068151
    1.130973355  100.639239708   86.174163570
    1.193805208  105.742658232   76.095776954
    1.256637061  110.173618799   64.815080386
    1.319468915  113.868936885   52.656717904
    1.382300768  116.772958453   39.695143929
    1.445132621  118.846117105   26.185408388
    1.507964474  120.055095457   12.270514586
    1.570796327  120.384537808   -1.803858526
    1.633628180  119.826377993  -15.927407779
    1.696460033  118.392071672  -29.681817711
    1.759291886  116.107573569  -42.978821431
    1.822123739  113.004996923  -55.676412333
    1.884955592  109.129672231  -67.581094501
    1.947787445  104.535103831  -78.542993376
    2.010619298   99.280846925  -88.497040618
    2.073451151   93.437375129  -97.244879912
    2.136283004   87.088564672 -104.605348583
    2.199114858   80.321094507 -110.549779770
    2.261946711   73.225790697 -115.021784895
    2.324778564   65.900915632 -117.841525622
    2.387610417   58.453772041 -118.914484263
    2.450442270   50.995079889 -118.214823190
    2.513274123   43.636768766 -115.692126220
    2.576105976   36.494344507 -111.327949133
    2.638937829   29.687952592 -105.029948093
    2.701769682   23.334468829  -96.917919301
    2.764601535   17.547217723  -87.009587796
    2.827433388   12.434706771  -75.455471888
    2.890265241    8.096911256  -62.393810555
    2.953097094    4.621177801  -48.074354661
    3.015928947    2.079467538  -32.687100698
    3.078760801    0.528338272  -16.605159343
