#! FIELDS lambda projection
#! SET min_lambda 0
#! SET max_lambda 39
#! SET nbins_lambda  40
#! SET periodic_lambda false
    0.000000000    0.000000000
    1.000000000   25.599809889
    2.000000000   50.280665955
    3.000000000   74.005504448
    4.000000000   96.885079782
    5.000000000  118.477223309
    6.000000000  138.456407121
    7.000000000  157.831106872
    8.000000000  176.011043301
    9.000000000  193.364373112
   10.000000000  210.600872715
   11.000000000  226.548797983
   12.000000000  242.122216395
   13.000000000  256.041348798
   14.000000000  271.331006451
   15.000000000  283.837962517
   16.000000000  297.032090042
   17.000000000  308.489454150
   18.000000000  320.043494184
   19.000000000  330.766826377
   20.000000000  340.482562990
   21.000000000  350.143599367
   22.000000000  357.114706701
   23.000000000  363.760294506
   24.000000000  370.085420512
   25.000000000  373.185409630
   26.000000000  375.630908475
   27.000000000  377.903506868
   28.000000000  379.813758116
   29.000000000  380.757364524
   30.000000000  380.969754998
   31.000000000  380.690888164
   32.000000000  379.504190575
   33.000000000  377.265348672
   34.000000000  373.427766437
   35.000000000  367.973941493
   36.000000000  362.242733094
   37.000000000  355.765999051
   38.000000000  351.796207252
   39.000000000  350.502444291
